MATRICOLA;TIPO BUS;MAC_ADDRESS
1882;URBANO;0025ca0f386c
1883;URBANO;0025ca0f2bba
1884;URBANO;0025ca07f382
1885;URBANO;0025ca0f2c12
1886;URBANO;0025ca0f2bf2
1887;URBANO;0025ca0f3972
1888;URBANO;0025ca0f394c
1889;URBANO;0025ca07f6cc
1890;URBANO;0025ca07f2b0
1891;URBANO;0025ca0f3892
1892;URBANO;0025ca07f364
1894;URBANO;0025ca07f292
1895;URBANO;0025ca0f38f4
1896;URBANO;0025ca07d1de
1897;URBANO;0025ca07f2ce
1898;URBANO;0025ca0f2cc6
1899;URBANO;0025ca0f38fe
1900;URBANO;0025ca0f2c92
1961;URBANO;0025ca07f66a
1965;URBANO;0025ca0f383a
1967;URBANO;0025ca0f2c86
1970;URBANO;0025ca0f39aa
1971;URBANO;0025ca0f398c
1972;URBANO;0025ca0f3844
1981;URBANO;0025ca07f6ac
1982;URBANO;0025ca0f2ea2
1985;URBANO;0025ca07f61a
1986;URBANO;0025ca0f2c9a
1987;URBANO;0025ca0f3868
1988;URBANO;0025ca07f2b2
1989;URBANO;0025ca0f2cc4
1991;URBANO;0025ca0f38fa
1992;URBANO;0025ca0f3944
1993;URBANO;0025ca07d204
1994;URBANO;0025ca0f3982
aaa;URBANO;37c393460f60
88;URBANO;0080371b851c
100;URBANO;0080371B880e
102;URBANO;0012f3034da2
104;URBANO;0080371b8514
105;URBANO;0080371d8df0
106;URBANO;00803719D195
107;URBANO;0080371b8517
108;URBANO;0012f30231d3
109;URBANO;0080371D8DAD
110;URBANO;0080371b865f
111;URBANO;0012f30239e9
112;URBANO;0080371da047
113;URBANO;0012f3034da0
114;URBANO;0080371b8564
115;URBANO;0080371b883e
116;URBANO;0080371b8668
117;URBANO;0080371d82ed
118;URBANO;0080371d8db8
119;URBANO;0080371d89f9
120;URBANO;0012f318da47
121;URBANO;0080371b833b
122;URBANO;0080371b8813
123;URBANO;0012f3034da5
124;URBANO;0080371d89f2
125;URBANO;0012f3035d71
126;URBANO;008037246e0b
301;URBANO;0012f30239d5
302;URBANO;0012f30239e6
303;URBANO;0080371d8d93
304;URBANO;0012f3064dbd
305;URBANO;0012f30268bf
306;URBANO;0080371D96AB
307;URBANO;0080371b868a
336;URBANO;0080371b8562
337;URBANO;0012f3064e3f
338;URBANO;0012f3035cc3
339;URBANO;0080371d8df2
340;URBANO;008037246e1b
341;URBANO;0080371B8669
342;URBANO;0012f3035d31
343;URBANO;008037246e43
344;URBANO;0080371d82f4
345;URBANO;0080371b8358
346;URBANO;0080371d7cde
347;URBANO;0080371b8541
348;URBANO;0080371b864c
349;URBANO;0012f3035ccc
350;URBANO;0012f318da60
351;URBANO;0080371d8305
352;URBANO;0080371d7cc9
353;URBANO;0012f30239e2
354;URBANO;0012f30239df
355;URBANO;0012f3035cdb
356;URBANO;0080371b863b
357;URBANO;0012f3035cec
358;URBANO;0012f30512e1
360;URBANO;0080371D7C9C
361;URBANO;0080371d8da3
362;URBANO;0012f3035cef
363;URBANO;0080371d7cbd
364;URBANO;0012f3035d34
365;URBANO;0080371B8671
366;URBANO;0080371d82f6
367;URBANO;0012f30239ed
368;URBANO;0080371B8519
369;URBANO;0080371d8dcf
370;URBANO;008037246e59
371;URBANO;0012f307e5da
372;URBANO;0080371b8549
373;URBANO;0012f307e638
374;URBANO;0080371b836d
375;URBANO;0080371b8543
376;URBANO;0080371b8510
377;URBANO;0012f3156ff9
378;URBANO;0012f307e607
379;URBANO;0080371d89f3
380;URBANO;0080371d7ce3
381;URBANO;0080371b8560
382;URBANO;0080371da04d
383;URBANO;0012f3036729
384;URBANO;0080371b8580
405;URBANO;0080371b852a
406;URBANO;0080371d7cf2
407;URBANO;0012f305132d
408;URBANO;0012f30b1636
409;URBANO;0012f3035d6b
410;URBANO;0012f3034da1
411;URBANO;0012f3035d70
412;URBANO;0080371b836a
413;URBANO;0080371d8dd5
414;URBANO;0080371b8a76
415;URBANO;008037246e5b
416;URBANO;0012f318da57
417;URBANO;0080371da042
418;URBANO;0012f3036722
419;URBANO;0080371da039
420;URBANO;0012f3035cdc
421;URBANO;0012f30512f8
422;URBANO;0080371d8dbd
705;URBANO;0080371d82e8
706;URBANO;0012f3036713
707;URBANO;0080371b8650
708;URBANO;0080371d8a02
709;URBANO;0012f3035ced
710;URBANO;0012f3023222
711;URBANO;0012f3035d35
712;URBANO;0080371d8db6
713;URBANO;0080371d82d7
714;URBANO;0012f3034d98
715;URBANO;0080371b883f
716;URBANO;0012f307e606
717;URBANO;0012f3023233
718;URBANO;0080371b852b
719;URBANO;0012f30268ca
720;URBANO;0012f30268c4
721;URBANO;0080371d8da7
722;URBANO;0012f3023218
725;URBANO;0080371b832b
726;URBANO;0012f3062ab2
727;URBANO;0012f3034d9e
728;URBANO;0080371b867b
729;URBANO;0080371d7cf4
730;URBANO;0080371d89fc
803;URBANO;0080371da041
810;URBANO;0080371B854C
811;URBANO;0012f3035d69
812;URBANO;0012f3183262
813;URBANO;0080371b8842
814;URBANO;0080371da03a
815;URBANO;0012f307e5c9
816;URBANO;0012f303671b
817;URBANO;0012f3034da8
818;URBANO;0012f307e619
819;URBANO;0080371b8365
820;URBANO;0012f3036719
821;URBANO;0080371d82f2
822;URBANO;0012f305131c
823;URBANO;0012f30512ea
824;URBANO;0012f30268b4
825;URBANO;0080371da045
826;URBANO;0080371b8531
827;URBANO;0080371d7cdd
828;URBANO;008037246e58
829;URBANO;0080371b834e
830;URBANO;0080371d8dd4
831;URBANO;0080371d8a04
832;URBANO;0012f30b1633
833;URBANO;0080371b8830
834;URBANO;0080371B881E
835;URBANO;0012f3036715
836;URBANO;0080371D8DEB
837;URBANO;0012f3035ce2
838;URBANO;0080371da040
839;URBANO;0080371d8de2
840;URBANO;0012f3035d3e
841;URBANO;0012f307e622
842;URBANO;0080371B8522
843;URBANO;0080371D8A0E
844;URBANO;0080371da049
845;URBANO;0080371da046
846;URBANO;0012f318da37
847;URBANO;0080371b8347
848;URBANO;0080371D8A0C
849;URBANO;0012f30239ec
850;URBANO;0080371b835e
851;URBANO;0080371D8D98
852;URBANO;0080371da060
853;URBANO;0080371b8645
854;URBANO;0080371d8de5
855;URBANO;0080371d8df7
856;URBANO;0080371B833D
857;URBANO;0080371d8dd6
858;URBANO;0080371b8356
859;URBANO;0012f30b163d
860;URBANO;0080371b8575
861;URBANO;0080371d7ce0
862;URBANO;0012F3035D59
863;URBANO;0080371B863A
864;URBANO;0012f30b1638
865;URBANO;0080371B866F
866;URBANO;0012f3035D61
867;URBANO;0012f30239d8
868;URBANO;0080371B8684
869;URBANO;0080371B8A7A
870;URBANO;008037246e5c
871;URBANO;0080371d7ced
872;URBANO;0080371b8572
873;URBANO;0012f3035cee
874;URBANO;008037211c4c
875;URBANO;0012f3034d95
876;URBANO;0080371da03f
877;URBANO;0012f30b1646
878;URBANO;0080371da059
879;URBANO;0080371b8a79
880;URBANO;0080371d8daf
881;URBANO;0080371d7cac
882;URBANO;0012f30b162a
883;URBANO;0080371d8d9e
884;URBANO;0080371d82eb
885;URBANO;0080371da04c
886;URBANO;0080371b8363
887;URBANO;0012f3035d5f
888;URBANO;0012f3156fed
889;URBANO;0080371d8304
890;URBANO;0012f307e602
891;URBANO;0012f302323d
892;URBANO;0080371b8834
893;URBANO;0080371d7ca1
894;URBANO;0012f30239da
895;URBANO;0080371d7cd4
896;URBANO;0080371d82e2
897;URBANO;0012f30239eb
898;URBANO;0080371da053
899;URBANO;0012f318da36
1050;EXTRAURBANO;0012f3036733
1051;EXTRAURBANO;0080371b8677
1052;EXTRAURBANO;0012f3035d3b
1053;EXTRAURBANO;0012f30268be
1054;EXTRAURBANO;008037246E1D
1055;EXTRAURBANO;0012f30b1644
1056;EXTRAURBANO;0080371b855d
1057;EXTRAURBANO;0080371b8342
1058;EXTRAURBANO;0012f3064def
1059;EXTRAURBANO;0080371d7ce2
1060;EXTRAURBANO;0012f3190554
1061;EXTRAURBANO;0012f30512f1
1062;EXTRAURBANO;0080371d8dd2
1063;EXTRAURBANO;008037246e07
1064;EXTRAURBANO;008037246e15
1065;EXTRAURBANO;0012f3036703
1066;EXTRAURBANO;0080371b834c
1067;EXTRAURBANO;0012f3035d39
1068;EXTRAURBANO;0080371b8833
1069;EXTRAURBANO;0080371d7ca7
1070;EXTRAURBANO;0080371da057
1071;EXTRAURBANO;0080371d7cd9
1072;EXTRAURBANO;0080371da03e
1101;EXTRAURBANO;0080371b8350
1102;EXTRAURBANO;0012f312e781
1103;EXTRAURBANO;0080371d8da9
1104;EXTRAURBANO;008037211c43
1105;EXTRAURBANO;0080371d7cbb
1114;EXTRAURBANO;0080371b8656
1115;EXTRAURBANO;0012f3156fee
1116;EXTRAURBANO;0080371b881a
1117;EXTRAURBANO;0080371D8DB9
1118;EXTRAURBANO;0080371b8822
1119;EXTRAURBANO;0012f30512dc
1120;EXTRAURBANO;0012f3035d2c
1121;EXTRAURBANO;0080371da048
1122;EXTRAURBANO;008037246e4f
1123;EXTRAURBANO;008037246E2B
1124;EXTRAURBANO;0080371b8815
1125;EXTRAURBANO;0080371d7cc6
1126;EXTRAURBANO;0080371B8511
1127;EXTRAURBANO;0012f30b163e
1128;EXTRAURBANO;0012f3034d96
1129;EXTRAURBANO;0012f3034daa
1130;EXTRAURBANO;0080371d82ec
1131;EXTRAURBANO;0080371b834a
1132;EXTRAURBANO;0080371D82F0
1133;EXTRAURBANO;0080371b8540
1134;EXTRAURBANO;008037246dff
1135;EXTRAURBANO;0080371D7Cee
1136;EXTRAURBANO;0080371d7cb8
1137;EXTRAURBANO;0080371b8537
1138;EXTRAURBANO;008037246E1A
1139;EXTRAURBANO;0012f30239d6
1140;EXTRAURBANO;008037246E52
1325;EXTRAURBANO;0012f311c900
1326;EXTRAURBANO;0012f30268c5
1327;EXTRAURBANO;0080371b8576
1328;EXTRAURBANO;0012f3035ce8
1329;EXTRAURBANO;0080371b881f
1330;EXTRAURBANO;0012f30b162d
1331;EXTRAURBANO;0080371b8811
1332;EXTRAURBANO;0012f3035ce7
1355;EXTRAURBANO;0080371b882c
1356;EXTRAURBANO;0080371d7c9f
1357;EXTRAURBANO;0080371D8DB1
1361;EXTRAURBANO;0012f3051314
1362;EXTRAURBANO;0012f3034da3
1363;EXTRAURBANO;0080371d8da8
1364;EXTRAURBANO;0012f3036716
1365;EXTRAURBANO;008037246e0f
1366;EXTRAURBANO;0012f318da51
1367;EXTRAURBANO;0080371B8809
1368;EXTRAURBANO;0080371d7cd1
1400;EXTRAURBANO;0080371d8d9c
1401;EXTRAURBANO;0080371d8dc6
1402;EXTRAURBANO;0080371b8647
1403;EXTRAURBANO;0080371d7ce6
1404;EXTRAURBANO;0080371d8d9d
1405;EXTRAURBANO;0080371b8529
1406;EXTRAURBANO;0012f303671d
1407;EXTRAURBANO;0080371b8563
1408;EXTRAURBANO;0012f3157004
1409;EXTRAURBANO;0080371d8dc5
1410;EXTRAURBANO;0012f3035cc9
1411;EXTRAURBANO;0080371b8525
1428;EXTRAURBANO;0012f3064e30
1429;EXTRAURBANO;0080371d8d94
1430;EXTRAURBANO;0080371da04f
1431;EXTRAURBANO;0080371b853a
1432;EXTRAURBANO;0012f3035d6e
1433;EXTRAURBANO;0012f307e5e0
1434;EXTRAURBANO;0012f307e63b
1435;EXTRAURBANO;0012f3035d64
1436;EXTRAURBANO;0012f307e632
1437;EXTRAURBANO;008037246e62
1438;EXTRAURBANO;008037211c3c
1439;EXTRAURBANO;0080371b8355
1440;EXTRAURBANO;0080371b8335
1441;EXTRAURBANO;0080371d8a05
1442;EXTRAURBANO;0012f3023232
1443;EXTRAURBANO;0080371b8841
1444;EXTRAURBANO;0012f3036705
1445;EXTRAURBANO;0012f303672e
1446;EXTRAURBANO;0012f3157003
1447;EXTRAURBANO;0012f3036721
1448;EXTRAURBANO;0012f3035d54
1449;EXTRAURBANO;0080371d7c9d
1450;EXTRAURBANO;0012f3064e36
1451;EXTRAURBANO;0012f3156fea
1452;EXTRAURBANO;0012f3035cdd
1453;EXTRAURBANO;0080371b853f
1454;EXTRAURBANO;0080371b883b
1455;EXTRAURBANO;0080371d8df4
1456;EXTRAURBANO;0080371b8667
1457;EXTRAURBANO;0012f30b1631
1458;EXTRAURBANO;0080371b851f
1459;EXTRAURBANO;0080371b8521
1460;EXTRAURBANO;0080371d7cb6
1461;EXTRAURBANO;0080371d7caa
1462;EXTRAURBANO;0012F318DA4F
